Trading Date,Interval Number,Trading Interval,Trading Suspended,Offer Quantity (MWh),Bid Quantity (MWh),Clearing Quantity (MWh),Clearing Price ($/MWh),Extracted At,,,
2021/4/26,32,2021/4/26 23:30,N,2281.242,751.405,23.635,45.32,,2.266,,
2021/4/26,33,2021/4/27 0:00,N,2283.055,761.737,17.2,40,,2,,
2021/4/26,34,2021/4/27 0:30,N,2287.881,770.141,19.004,45.32,,2.266,,
2021/4/26,35,2021/4/27 1:00,N,2288.705,768.855,22.308,40.15,,2.0075,,
2021/4/26,36,2021/4/27 1:30,N,2288.774,768.166,23.808,40,,2,,
2021/4/26,37,2021/4/27 2:00,N,2286.69,752.512,25.262,35,,1.75,,
2021/4/26,38,2021/4/27 2:30,N,2285.73,743.816,27.17,34.23,,1.7115,,
2021/4/26,39,2021/4/27 3:00,N,2285.832,745.209,27.23,34.23,,1.7115,,
2021/4/26,40,2021/4/27 3:30,N,2287.091,751.048,25.189,35,,1.75,,
2021/4/26,41,2021/4/27 4:00,N,2288.531,760.418,26.508,35,,1.75,,
2021/4/26,42,2021/4/27 4:30,N,2291.056,772.642,22.704,45.32,,2.266,,
2021/4/26,43,2021/4/27 5:00,N,2288.039,804.151,28.11,46.59,,2.3295,,
2021/4/26,44,2021/4/27 5:30,N,2282.296,825.218,53.24,50.12,,2.506,,
2021/4/26,45,2021/4/27 6:00,N,2268.938,886.299,69.779,52.18,,2.609,,
2021/4/26,46,2021/4/27 6:30,N,2260.085,956.255,24.485,58,,2.9,,
2021/4/26,47,2021/4/27 7:00,N,2255.295,971.557,18.501,60,,3,,
2021/4/26,48,2021/4/27 7:30,N,2265.733,915.288,73.275,55.87,,2.7935,,
2021/4/27,1,2021/4/27 8:00,N,2280.821,885.673,38.924,50.13,,2.5065,,
2021/4/27,2,2021/4/27 8:30,N,2271.151,826.305,17.751,50,,2.5,,
2021/4/27,3,2021/4/27 9:00,N,2261.584,775.982,29.58,33.1,,1.655,,
2021/4/27,4,2021/4/27 9:30,N,2250.929,762.636,29.384,26.45,,1.3225,,
2021/4/27,5,2021/4/27 10:00,N,2249.452,728.409,29.384,26.45,,1.3225,,
2021/4/27,6,2021/4/27 10:30,N,2248.099,671.721,34.009,26.45,,1.3225,,
2021/4/27,7,2021/4/27 11:00,N,2246.731,633.038,34.009,26.45,,1.3225,,
2021/4/27,8,2021/4/27 11:30,N,2249.454,650.377,34.514,26.45,,1.3225,,
2021/4/27,9,2021/4/27 12:00,N,2248.684,660.466,35.017,26.45,,1.3225,,
2021/4/27,10,2021/4/27 12:30,N,2248.115,638.119,35.017,26.45,,1.3225,,
2021/4/27,11,2021/4/27 13:00,N,2247.599,652.288,35.017,26.45,,1.3225,,
2021/4/27,12,2021/4/27 13:30,N,2247.238,705.171,35.017,26.45,,1.3225,,
2021/4/27,13,2021/4/27 14:00,N,2248.641,752.992,29.385,26.45,,1.3225,,
2021/4/27,14,2021/4/27 14:30,N,2263.452,785.925,29.384,26.88,,1.344,,
2021/4/27,15,2021/4/27 15:00,N,2264.669,846.494,19.13,52.18,,2.609,,
2021/4/27,16,2021/4/27 15:30,N,2267.753,919.803,21.89,49.85,,2.4925,,
2021/4/27,17,2021/4/27 16:00,N,2270.251,998.354,35.923,54.55,,2.7275,,
2021/4/27,18,2021/4/27 16:30,N,2279.097,1054.657,17.633,65.45,,3.2725,,
2021/4/27,19,2021/4/27 17:00,N,2282.939,1116.58,31.033,58.63,,2.9315,,
2021/4/27,20,2021/4/27 17:30,N,2279.747,1149.59,38.951,55.34,,2.767,,
2021/4/27,21,2021/4/27 18:00,N,2279.581,1174.284,42.751,58.32,,2.916,,
2021/4/27,22,2021/4/27 18:30,N,2283.357,1148.188,41.656,48.91,,2.4455,,
2021/4/27,23,2021/4/27 19:00,N,2284.44,1103.27,43.338,48.91,,2.4455,,
2021/4/27,24,2021/4/27 19:30,N,2282.573,1068.472,50.451,56.45,,2.8225,,
2021/4/27,25,2021/4/27 20:00,N,2282.523,1030.215,18.051,55,,2.75,,
2021/4/27,26,2021/4/27 20:30,N,2284.164,964.626,21.151,42.59,,2.1295,,
2021/4/27,27,2021/4/27 21:00,N,2270.451,955.119,12.691,45.32,,2.266,,
2021/4/27,28,2021/4/27 21:30,N,2265.233,939.837,11.1,49.98,,2.499,,
2021/4/27,29,2021/4/27 22:00,N,2267.127,876.208,10.874,45.32,,2.266,,
2021/4/27,30,2021/4/27 22:30,N,2269.357,836.731,10.874,45.32,,2.266,,
2021/4/27,31,2021/4/27 23:00,N,2275.627,801.423,11.378,45.32,,2.266,,
2021/4/27,32,2021/4/27 23:30,N,2282.661,773.284,22.45,43.64,,2.182,,
